run_id,engine,engine_version,suite,scale_factor,bench_instance_type,benchmark,namespace,query,run,query_start_time,query_end_time,result_correct,error,rows_returned,dm_rounds,files_before,files_after,delete_files_before,delete_files_after
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q01,0,2026-06-16T14:22:32.095094+00:00,2026-06-16T14:22:36.400607+00:00,true,,4,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q01,1,2026-06-16T14:22:36.401052+00:00,2026-06-16T14:22:40.813680+00:00,,,4,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q01,2,2026-06-16T14:22:40.813771+00:00,2026-06-16T14:22:45.153914+00:00,,,4,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q02,0,2026-06-16T14:22:48.311154+00:00,2026-06-16T14:22:50.697711+00:00,true,,100,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q02,1,2026-06-16T14:22:50.699222+00:00,2026-06-16T14:22:53.034751+00:00,,,100,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q02,2,2026-06-16T14:22:53.034872+00:00,2026-06-16T14:22:55.211008+00:00,,,100,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q03,0,2026-06-16T14:23:01.860029+00:00,2026-06-16T14:23:07.785575+00:00,true,,10,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q03,1,2026-06-16T14:23:07.786027+00:00,2026-06-16T14:23:13.701926+00:00,,,10,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q03,2,2026-06-16T14:23:13.702003+00:00,2026-06-16T14:23:19.502272+00:00,,,10,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q04,0,2026-06-16T14:23:23.943518+00:00,2026-06-16T14:23:28.391357+00:00,true,,5,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q04,1,2026-06-16T14:23:28.391780+00:00,2026-06-16T14:23:32.804045+00:00,,,5,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q04,2,2026-06-16T14:23:32.804125+00:00,2026-06-16T14:23:37.261871+00:00,,,5,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q05,0,2026-06-16T14:23:43.380265+00:00,2026-06-16T14:23:49.532750+00:00,true,,5,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q05,1,2026-06-16T14:23:49.533398+00:00,2026-06-16T14:23:55.857226+00:00,,,5,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q05,2,2026-06-16T14:23:55.857299+00:00,2026-06-16T14:24:02.004492+00:00,,,5,,,,,
2a738f961c2846c9a277b01938b88367,duckdb,1.5.3,tpch,10,c8gd.4xlarge,analytical,bench_df2a26bf,q06,0,2026-06-16T14:24:06.886521+00:00,2026-06-16T14:24:11.962885+00:00,true,,1,,,,,
